"Понедельник","","","","Вторник","","","","Среда","","","","Четверг","","","","Пятница","","","","Суббота","","","",""
"Практикум по решению задач высокого уровня сложности","11","16.00","39","Морфология и анатомия растений и животных","9-11","15.30","31","","","","","Основные понятия и законы общей химии в задачах","11","15.30","35","Морфология и анатомия растений и животных","7-9","15.30","31","Решение практических олимпиадных заданий по физиологии растений","10-11","13.30 - 15.00","МГТУ, корпус «Е» Ауд. 202",""
"Практикум по решению задач высокого уровня сложности ","7","14.30","39","Химия элементов","9","15.30","35","","","","","Практикум по решению задач высокого уровня сложности по математике","9","16.00","38","От простого к сложному. Основные приёмы решения задач","10","15.30","35","Решение практических олимпиадных заданий по экологии и физиологии животных","10-11","13.30 - 15.00","МГТУ, корпус «Е» Ауд. 203",""
"","","","","Технология программирования при решении научных задач.","10","17.00","информатики (3 этаж)","","","","","Практикум по решению задач высокого уровня сложности ","5-6","14.30","38","Технология программирования при решении научных задач.","11","15.30","информатики (3 этаж)","","","","",""
"","","","","«3-D технологии»","8-9","16.00","информатики (3 этаж)","","","","","","","","","","","","","","","","",""
"","","","","Решение олимпиадных задач","11","15.00","24","","","","","","","","","","","","","","","","",""
